stg;vert;pversion;pnr;pdtxt;ppruefer;Prüfer 1;zweitpruefer;Prüfer 2;pdauer;pform;psem;angeboten
AB;;141;1030;Technik Grundlagen;6317;;;;210;KL;20201;J
AB;;141;4030;Grundlagen Organisation 1;1224;;;;90;KL;20201;J
AB;;161;1020;Konstruktion Grundlagen;0178;;0452;;120;KL;20201;J
AB;;161;1030;Technik Grundlagen;6317;;;;210;KL;20201;J
AB;;161;2030;Grundlagen Entwerfen 2;00692;;;;180;KL;20201;J
AB;;161;4030;Grundlagen Organisation 1;1224;;;;90;KL;20201;J
AB;;161;4040;Grundl.Recht 1;0363;;;;90;KL;20201;J
AB;;161;4050;Fremdsprache Grundkurs;2839;;;;60;KL;20201;J
AB;;161;5010;Grundl.Recht 2;0363;;;;45;KL;20201;J
AB;;161;17890;Bauorganisation;1224;;;;90;KL;20201;J
AB;;161;18230;WPF Techn. Infrastruktur;6174;;7410;;90;KL;20201;J
AB;;161;18260;WPF Umweltrecht;0461;;;;60;KL;20201;J
AB;;161;18270;WPF Verwaltungs-u.Grundst;3714;;;;90;KL;20201;J
AB;;161;19160;WPF Fremdsprache;2839;;;;;KL;20201;J
AB;;161;19200;WPF Baul.u.Lean cons.Mgmt;1224;;15440;;90;KL;20201;J
AB;;192;1921010;Grundlagen Entwerfen 1;15968;;;;45;KL;20201;J
AB;;192;1921030;Grundlagen Technik;6317;;;;180;KL;20201;J
BB;;162;1010;Mathematik I;0095;;;;45;KL;20201;J
BB;;162;1030;Baustoffkunde I;0499;;;;90;KL;20201;J
BB;;162;1050;Bauphysik;1471;;;;60;KL;20201;J
BB;;162;1060;Wirt., Recht u. Manag. I;1218;;6415;;60;KL;20201;J
BB;;162;2010;Mathematik II;15651;;5556;;120;KL;20201;J
BB;;162;2020;Mechanik II;1969;;0820;;120;KL;20201;J
BB;;162;2030;Baustoffkunde II;0499;;;;90;KL;20201;J
BB;;162;2040;Geotechnik I;0815;;;;60;KL;20201;J
BB;;162;2060;Vermessungskunde;0521;;;;60;KL;20201;J
BB;;162;2070;Wirtschaft, Recht, Ma. II;1947;;15506;;90;KL;20201;J
BB;;162;3010;Baustatik I;15291;;;;90;KL;20201;J
BB;;162;3020;Geotechnik II;3281;;;;90;KL;20201;J
BB;;162;3030;Konstrukt. Ingenieurbau I;0820;;;;90;KL;20201;J
BB;;162;3040;Verkehrswesen I;6874;;14230;;90;KL;20201;J
BB;;162;3050;Wasserwesen;15621;;8617;;100;KL;20201;J
BB;;162;3060;Baubetrieb I;1218;;;;90;KL;20201;J
BB;;162;4010;Geotechnik III;1126;;3281;;60;KL;20201;J
BB;;162;4020;Konstrukt. Ingenieurb. II;15282;;;;90;KL;20201;J
BB;;162;4030;Konstruk. Ingenieurb. III;15291;;16003;;90;KL;20201;J
BB;;162;4040;Verkehrswesen II;0360;;0203;;60;KL;20201;J
BB;;162;4045;Vorl. Verkehrswesen II;0360;;;;60;KL;20201;J
BB;;162;4050;Siedlungswasserwirtsch. I;15941;;;;60;KL;20201;J
BB;;162;4060;Wasserwirtschaft/-bau I;15621;;;;60;KL;20201;J
BB;;162;5011;Arbeitsschutz;8412;;;;60;KL;20201;J
BB;;162;17110;Bauen m. vorgefert. Elem.;1218;;;;60;KL;20201;J
BB;;162;17160;Planungsrecht;1199;;1198;;60;KL;20201;J
BB;;162;17170;Sonderf.der Kalkulation;0132;;;;60;KL;20201;J
BB;;162;17180;Schalung und Rüstung;1108;;1218;;60;KL;20201;J
BB;;162;17200;Brandschutz;6147;;0115;;60;KL;20201;J
BB;;192;601921010;Mathematik I;0095;;;;45;KL;20201;J
BB;;192;601921030;Baustoffkunde I;0499;;;;90;KL;20201;J
BB;;192;601921050;Vermessungskunde;0521;;;;60;KL;20201;J
BB;;192;601921060;Bauphysik;1471;;;;60;KL;20201;J
BB;;192;601921070;Wirtschaft und Management;1218;;6415;;60;KL;20201;J
BB;;192;601922010;Mathematik II;5556;;15651;;120;KL;20201;J
BB;;192;601922020;Mechanik II;1969;;0820;;120;KL;20201;J
BB;;192;601922030;Baustoffkunde II;0499;;;;90;KL;20201;J
BB;;192;601922040;Geotechnik I;0815;;;;60;KL;20201;J
BB;;192;601922060;Recht und Management;1947;;15506;;90;KL;20201;J
BB;;192;601923010;Baustatik I;15291;;;;90;KL;20201;J
BB;;192;601923020;Geotechnik II;3281;;;;90;KL;20201;J
BB;;192;601923030;Stahlbau I;0820;;;;120;KL;20201;J
BB;;192;601923040;Verkehrswesen I;6874;;14230;;90;KL;20201;J
BB;;192;601923050;Wasserwesen;15621;;8617;;100;KL;20201;J
BB;;192;601923060;Bauproduktionstechnik;1218;;;;60;KL;20201;J
BB;;192;601924010;Geotechnik III;1126;;3281;;90;KL;20201;J
BB;;192;601924020;Stahlbetonbau I;15282;;;;90;KL;20201;J
BB;;192;601924030;Ingenieurholzbau I;15291;;16003;;90;KL;20201;J
BB;;192;601924040;Verkehrswesen II;0360;;0203;;60;KL;20201;J
BB;;192;601924045;Vorl. Verkehrswesen II;0360;;;;60;KL;20201;J
BB;;192;601924050;Siedlungswasserwirtsch. I;15941;;;;60;KL;20201;J
BB;;192;601924060;Wasserwirtschaft/-bau I;15621;;;;60;KL;20201;J
BB;;192;601925011;Arbeitsschutz;8412;;;;60;KL;20201;J
BB;BM;162;6020;Planung u. Konstruktion I;0787;;;;60;KL;20201;J
BB;BM;162;6030;Planung/Konstruktion II;0115;;;;120;KL;20201;J
BB;BM;162;6040;Baumanagement I;15461;;15862;;90;KL;20201;J
BB;BM;162;6050;Baumanagement II;1218;;;;60;KL;20201;J
BB;BM;162;6060;Baumanagement III;1108;;1218;;60;KL;20201;J
BB;BM;162;7030;Baubetriebswirtsch.;0132;;1111;;120;KL;20201;J
BB;KI;162;6020;Baustatik II;15291;;;;150;KL;20201;J
BB;KI;162;6030;Stahl-/Spannbetonbau;15282;;1969;;150;KL;20201;J
BB;KI;162;6040;Stahlbau;0834;;;;120;KL;20201;J
BB;KI;162;7020;Geotechnik IV;1126;;;;90;KL;20201;J
BB;KI;162;7030;Ingenieurholzbau;16003;;;;90;KL;20201;J
BB;WV;162;6020;Verkehrswesen III;14230;;6874;;120;KL;20201;J
BB;WV;162;6030;Hydromechanik;15621;;;;60;KL;20201;J
BB;WV;162;6040;Siedlungswasserwirtschaft;6174;;8617;;90;KL;20201;J
BB;WV;162;6050;Wasserwirtschaft/-bau;15621;;;;80;KL;20201;J
BB;WV;162;7020;Abfallwirtschaft;0155;;;;90;KL;20201;J
BB;WV;162;7030;Verkehrswesen IV;0203;;;;120;KL;20201;J
