mtknr;stg;pversion;pnr;pform;dtxt;psem
163468;AB;141;1020;KL;Klausur;20192
167380;AB;161;1020;KL;Klausur;20192
167471;AB;161;1020;KL;Klausur;20192
167766;AB;161;1020;KL;Klausur;20192
168054;AB;161;1020;KL;Klausur;20192
168689;AB;161;1020;KL;Klausur;20192
168736;AB;161;1020;KL;Klausur;20192
168861;AB;161;1020;KL;Klausur;20192
168918;AB;161;1020;KL;Klausur;20192
169104;AB;161;1020;KL;Klausur;20192
169159;AB;161;1020;KL;Klausur;20192
169206;AB;161;1020;KL;Klausur;20192
159906;AB;141;1030;KL;Klausur;20192
162761;AB;141;1030;KL;Klausur;20192
167380;AB;161;1030;KL;Klausur;20192
167664;AB;161;1030;KL;Klausur;20192
167686;AB;161;1030;KL;Klausur;20192
167982;AB;161;1030;KL;Klausur;20192
168043;AB;161;1030;KL;Klausur;20192
168054;AB;161;1030;KL;Klausur;20192
168281;AB;161;1030;KL;Klausur;20192
168327;AB;161;1030;KL;Klausur;20192
168509;AB;161;1030;KL;Klausur;20192
168565;AB;161;1030;KL;Klausur;20192
168576;AB;161;1030;KL;Klausur;20192
168598;AB;161;1030;KL;Klausur;20192
168634;AB;161;1030;KL;Klausur;20192
168667;AB;161;1030;KL;Klausur;20192
168770;AB;161;1030;KL;Klausur;20192
168827;AB;161;1030;KL;Klausur;20192
168941;AB;161;1030;KL;Klausur;20192
168963;AB;161;1030;KL;Klausur;20192
168985;AB;161;1030;KL;Klausur;20192
168996;AB;161;1030;KL;Klausur;20192
169045;AB;161;1030;KL;Klausur;20192
169057;AB;161;1030;KL;Klausur;20192
169091;AB;161;1030;KL;Klausur;20192
169104;AB;161;1030;KL;Klausur;20192
169137;AB;161;1030;KL;Klausur;20192
169148;AB;161;1030;KL;Klausur;20192
169159;AB;161;1030;KL;Klausur;20192
169193;AB;161;1030;KL;Klausur;20192
159906;AB;141;1050;KL;Klausur;20192
168043;AB;161;1050;KL;Klausur;20192
168178;AB;161;1050;KL;Klausur;20192
168247;AB;161;1050;KL;Klausur;20192
168509;AB;161;1050;KL;Klausur;20192
168532;AB;161;1050;KL;Klausur;20192
168634;AB;161;1050;KL;Klausur;20192
168667;AB;161;1050;KL;Klausur;20192
168678;AB;161;1050;KL;Klausur;20192
168689;AB;161;1050;KL;Klausur;20192
168725;AB;161;1050;KL;Klausur;20192
168770;AB;161;1050;KL;Klausur;20192
168792;AB;161;1050;KL;Klausur;20192
168827;AB;161;1050;KL;Klausur;20192
168918;AB;161;1050;KL;Klausur;20192
168941;AB;161;1050;KL;Klausur;20192
169045;AB;161;1050;KL;Klausur;20192
169091;AB;161;1050;KL;Klausur;20192
169126;AB;161;1050;KL;Klausur;20192
169159;AB;161;1050;KL;Klausur;20192
166832;AB;161;2030;KL;Klausur;20192
167664;AB;161;2030;KL;Klausur;20192
167675;AB;161;2030;KL;Klausur;20192
167686;AB;161;2030;KL;Klausur;20192
167904;AB;161;2030;KL;Klausur;20192
168043;AB;161;2030;KL;Klausur;20192
168054;AB;161;2030;KL;Klausur;20192
168087;AB;161;2030;KL;Klausur;20192
168178;AB;161;2030;KL;Klausur;20192
168203;AB;161;2030;KL;Klausur;20192
168247;AB;161;2030;KL;Klausur;20192
168281;AB;161;2030;KL;Klausur;20192
168361;AB;161;2030;KL;Klausur;20192
168394;AB;161;2030;KL;Klausur;20192
168407;AB;161;2030;KL;Klausur;20192
168418;AB;161;2030;KL;Klausur;20192
168429;AB;161;2030;KL;Klausur;20192
168430;AB;161;2030;KL;Klausur;20192
168441;AB;161;2030;KL;Klausur;20192
168452;AB;161;2030;KL;Klausur;20192
168463;AB;161;2030;KL;Klausur;20192
168474;AB;161;2030;KL;Klausur;20192
168485;AB;161;2030;KL;Klausur;20192
168496;AB;161;2030;KL;Klausur;20192
168509;AB;161;2030;KL;Klausur;20192
168510;AB;161;2030;KL;Klausur;20192
168521;AB;161;2030;KL;Klausur;20192
